2025-11-26_00:38:47 ; 13 ; employee ; CREATE_TS ; timesheet ; 7 ; success ; timesheet creado en draft
2025-11-26_00:38:55 ; 13 ; employee ; SUBMIT_TS ; timesheet ; 7 ; success ; timesheet enviado (submitted)
2025-11-26_00:39:03 ; 15 ; supervisor ; LOGIN ; user ; 15 ; success ; login correcto
2025-11-26_00:39:23 ; 15 ; supervisor ; APPROVE_TS ; timesheet ; 7 ; success ; Buenas horas trabajadas.
2025-11-26_02:21:59 ; 13 ; employee ; LOGIN ; user ; 13 ; success ; login correcto
2025-11-26_02:22:14 ; 13 ; employee ; CREATE_TS ; timesheet ; 8 ; success ; timesheet creado en draft
2025-11-26_04:02:12 ; 16 ; employee ; REGISTER_USER ; user ; 16 ; success ; usuario registrado
2025-11-26_04:02:26 ; 16 ; employee ; LOGIN ; user ; 16 ; success ; login correcto
2025-11-26_04:05:52 ; 17 ; supervisor ; REGISTER_USER ; user ; 17 ; success ; usuario registrado
2025-11-26_04:05:59 ; 17 ; supervisor ; LOGIN ; user ; 17 ; success ; login correcto
2025-11-26_04:08:11 ; 13 ; employee ; LOGIN ; user ; 13 ; success ; login correcto
2025-11-26_04:08:29 ; 13 ; employee ; CREATE_TS ; timesheet ; 9 ; success ; timesheet creado en draft
2025-11-26_04:08:54 ; 13 ; employee ; SUBMIT_TS ; timesheet ; 8 ; success ; timesheet enviado (submitted)
2025-11-26_04:09:05 ; 13 ; employee ; SUBMIT_TS ; timesheet ; 9 ; success ; timesheet enviado (submitted)
2025-11-26_04:09:17 ; 10 ; supervisor ; LOGIN ; user ; 10 ; success ; login correcto
2025-11-26_04:10:00 ; 10 ; supervisor ; APPROVE_TS ; timesheet ; 8 ; success ; Horas Trabajadas
